Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the new and confirm password cannot contain user full name,EL-68,10158,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 4:40 PM,21/Feb/22 1:56 PM,,,0,Verify the new and confirm password cannot contain user full name,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:6i,,,,,EL Sprint 1,,,,,,,,In Progress
"Verify the password strength(very weak, weak, normal, medium, strong, very strong)",EL-67,10157,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:41 AM,,0,"Verify the password strength(very weak, weak, normal, medium, strong, very strong)",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:r,,,,,EL Sprint 1,,,,,,,,Done
Verify the progress bar for new password field,EL-66,10156,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:51 AM,,0,Verify the progress bar for new password field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:5x,,,,,EL Sprint 1,,,,,,,,Done
Verify the new password field with less than 10 characters,EL-65,10155,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,,,0,Verify the new password field with less than 10 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:5t,,,,,EL Sprint 1,,,,,,,,In Progress
"Verify the new password field with combination of alphabets, numers and special characters",EL-64,10154,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:41 AM,,0,"Verify the new password field with combination of alphabets, numers and special characters",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:7,,,,,EL Sprint 1,,,,,,,,Done
"Verify the change password functionality  by leaving old password, new and confirm password as blank",EL-63,10153,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:52 AM,,0,"Verify the change password functionality  by leaving old password, new and confirm password as blank",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:5r,,,,,EL Sprint 1,,,,,,,,Done
Verify the change password functionality by entering valid old password and leaving the new password and confirm password as blank,EL-62,10152,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:39 AM,,0,Verify the change password functionality by entering valid old password and leaving the new password and confirm password as blank,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:5v,,,,,EL Sprint 1,,,,,,,,Done
Verify the change password functionality by entering valid old password and valid new password by leaving confirm password as blank,EL-61,10151,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:52 AM,,0,Verify the change password functionality by entering valid old password and valid new password by leaving confirm password as blank,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:54,,,,,EL Sprint 1,,,,,,,,Done
Verify the change password functionality by entering invalid old password and matching valid  new and confirm password,EL-60,10150,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,18/Feb/22 10:55 AM,18/Feb/22 10:52 AM,,0,Verify the change password functionality by entering invalid old password and matching valid  new and confirm password,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:59,,,,,EL Sprint 1,,,,,,,,Done
Verify the change password functionality by leaving valid old password and matching new and confirm password,EL-59,10149,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:29 PM,21/Feb/22 1:56 PM,18/Feb/22 10:41 AM,,0,Verify the change password functionality by leaving valid old password and matching new and confirm password,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:5i,,,,,EL Sprint 1,,,,,,,,Done
Verify the change password functionality by entering valid old password and matching new and confirm password,EL-58,10148,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:50 AM,,0,Verify the change password functionality by entering valid old password and matching new and confirm password,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:4t,,,,,EL Sprint 1,,,,,,,,Done
Verify the phone field with initial digit less than 6,EL-57,10147,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,21/Feb/22 11:04 AM,21/Feb/22 1:56 PM,,,0,Verify the phone field with initial digit less than 6,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:4v,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the phone field with blank value,EL-56,10146,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,21/Feb/22 11:04 AM,21/Feb/22 1:56 PM,,,0,Verify the phone field with blank value,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:4r,,,,,EL Sprint 1,,,,,,,,In Progress
"Verify the phone field by entering ""0"" at initial",EL-55,10145,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,21/Feb/22 11:04 AM,21/Feb/22 1:56 PM,,,0,"Verify the phone field by entering ""0"" at initial",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:4i,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the phone field by special and alphabetic characters,EL-54,10144,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,21/Feb/22 11:04 AM,21/Feb/22 1:56 PM,,,0,Verify the phone field by special and alphabetic characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:6,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the phone field by entering 10 zero in text box,EL-53,10143,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,21/Feb/22 11:04 AM,21/Feb/22 1:56 PM,,,0,Verify the phone field by entering 10 zero in text box,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:5,,,,,EL Sprint 1,,,,,,,,In Progress
Verify that the by default all the added record showing in the phone field or not,EL-52,10142,Test,In Progress,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,21/Feb/22 11:08 AM,21/Feb/22 1:56 PM,,,0,Verify that the by default all the added record showing in thephone field or not,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:4,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the phone field by entering the blank space between them,EL-51,10141,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,21/Feb/22 10:55 AM,21/Feb/22 1:56 PM,,,0,Verify the phone field by entering the blank space between them,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzn:y,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the phone field by entering the valid 10 digit phone number,EL-50,10140,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,21/Feb/22 11:01 AM,21/Feb/22 1:56 PM,,,0,Verify the phone field by entering the valid 10 digit phone number,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzn:yi,,,,,EL Sprint 1,,,,,,,,In Progress
Verify that the email field with two special characters,EL-49,10139,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:51 AM,,0,Verify that the email field with two special characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzn:z,,,,,EL Sprint 1,,,,,,,,Done
Verify the email field with asterik (*) sign,EL-48,10138,Test,In Progress,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,21/Feb/22 11:13 AM,21/Feb/22 1:56 PM,,,0,Verify the email field with asterik (*) sign,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzn:t,,,,,EL Sprint 1,,,,,,,,In Progress
Verify that email field with “@” symbol,EL-47,10137,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 11:41 AM,18/Feb/22 10:39 AM,,0,Verify that email field with “@” symbol,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzn:x,,,,,EL Sprint 1,,,,,,,,Done
Verify that the email field is more than 30 characters,EL-46,10136,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,21/Feb/22 10:59 AM,21/Feb/22 11:20 AM,,,0,Verify that the email field is more than 30 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzn:m,,,,,EL Sprint 1,,,,,,,,In Progress
Verify that the code field is same as username but in uppercase characters,EL-45,10135,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:29 PM,21/Feb/22 1:56 PM,18/Feb/22 10:37 AM,,0,Verify that the code field is same as username but in uppercase characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzn:d,,,,,EL Sprint 1,,,,,,,,Done
Verify that the by default all the added record showing in the code field or not,EL-44,10134,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:37 AM,,0,Verify that the by default all the added record showing in the code field or not,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:zi,,,,,EL Sprint 1,,,,,,,,Done
Verify the username field with lowercase characters,EL-43,10133,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:29 PM,21/Feb/22 1:56 PM,18/Feb/22 10:51 AM,,0,Verify the username field with lowercase characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:9,,,,,EL Sprint 1,,,,,,,,Done
Verify that the user is able to edit the username field record by entering the valid data,EL-42,10132,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,21/Feb/22 11:06 AM,21/Feb/22 1:56 PM,,,0,Verify that the user is able to edit the username field record by entering the valid data,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzn:9,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the username field with less than 2 characters,EL-41,10131,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,21/Feb/22 11:06 AM,21/Feb/22 1:56 PM,,,0,Verify the username field with less than 2 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzn:v,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the username field with blank value,EL-40,10130,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,21/Feb/22 11:06 AM,21/Feb/22 1:56 PM,,,0,Verify the username field with blank value,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzn:r,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the username field with 30 characters,EL-39,10129,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,21/Feb/22 11:06 AM,21/Feb/22 1:56 PM,,,0,Verify the username field with 30 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:yi,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the username with special characters,EL-38,10128,Test,In Progress,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,21/Feb/22 11:06 AM,21/Feb/22 1:56 PM,,,0,Verify the username with special characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:xv,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the username with alphanumeric characters,EL-37,10127,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,21/Feb/22 11:06 AM,21/Feb/22 1:56 PM,,,0,Verify the username with alphanumeric characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:yr,,,,,EL Sprint 1,,,,,,,,In Progress
Verify that the by default all the added record showing in the username field or not,EL-36,10126,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:36 AM,,0,Verify that the by default all the added record showing in the username field or not,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:xi,,,,,EL Sprint 1,,,,,,,,Done
