Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that the crop button should be clickable,EL-35,10125,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:51 AM,,0,Verify that the crop button should be clickable,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:xr,,,,,EL Sprint 1,,,,,,,,Done
Verify the default text for crop button,EL-34,10124,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:37 AM,,0,Verify the default text for crop button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzn:i,,,,,EL Sprint 1,,,,,,,,Done
Verify if the user is able to crop the image or not,EL-33,10123,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:41 AM,,0,Verify if the user is able to crop the image or not,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:i,,,,,EL Sprint 1,,,,,,,,Done
Verify the image name with special characters,EL-32,10122,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,21/Feb/22 11:08 AM,21/Feb/22 1:56 PM,,,0,Verify the image name with special characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:qv,,,,,EL Sprint 1,,,,,,,,In Progress
Verify a proper message if the user tries to upload the image which is not allowed,EL-31,10121,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:29 PM,21/Feb/22 1:56 PM,18/Feb/22 10:36 AM,,0,Verify a proper message if the user tries to upload the image which is not allowed,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:wr,,,,,EL Sprint 1,,,,,,,,Done
Verify that image size should be shown under the image name,EL-30,10120,Test,In Progress,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:29 PM,21/Feb/22 1:56 PM,,,0,Verify that image size should be shown under the image name,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:z,,,,,EL Sprint 1,,,,,,,,In Progress
"Verify that the user can only be able to upload the allowed images only,i.e, png, jpg and gif",EL-29,10119,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:37 AM,,0,"Verify that the user can only be able to upload the allowed images only,i.e, png, jpg and gif",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:x,,,,,EL Sprint 1,,,,,,,,Done
Verify the default text on add image field,EL-28,10118,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:29 PM,21/Feb/22 1:56 PM,18/Feb/22 10:36 AM,,0,Verify the default text on add image button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:v,,,,,EL Sprint 1,,,,,,,,Done
Verify that the multiple images can be uploaded by the user,EL-27,10117,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:29 PM,21/Feb/22 1:56 PM,18/Feb/22 10:37 AM,,0,Verify that the user can be able to select multiple files if required,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:y,,,,,EL Sprint 1,,,,,,,,Done
Verify that the user is able to see the image after selection,EL-26,10116,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:50 AM,,0,Verify that user is able to see the image after the selection,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:wi,,,,,EL Sprint 1,,,,,,,,Done
Verify the name of selected image is displayed correctly,EL-25,10115,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:36 AM,,0,Verify the name of selected image is displayed correctly,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:qr,,,,,EL Sprint 1,,,,,,,,Done
Verify that the the choose file button is clickable or not in add image field,EL-24,10114,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:37 AM,,0,Verify that the the choose file button is clickable or not in add image field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:w,,,,,EL Sprint 1,,,,,,,,Done
Verify that the by default all the added record showing in the last name field or not,EL-23,10113,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:36 AM,,0,Verify that the by default all the added record showing in the last name field or not,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:w9,,,,,EL Sprint 1,,,,,,,,Done
Verify the last name field with numeric and special characters,EL-22,10112,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,21/Feb/22 11:06 AM,21/Feb/22 1:56 PM,,,0,Verify the last name field with numeric and special characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:qi,,,,,EL Sprint 1,,,,,,,,In Progress
Verify that the user is able to edit the last name field record by entering the valid data,EL-21,10111,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,18/Feb/22 4:25 PM,21/Feb/22 1:56 PM,,,0,Verify that the user is able to edit the last name field record by entering the valid data,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:om,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the last name field with more than 100 characters,EL-20,10110,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:14 PM,21/Feb/22 11:06 AM,21/Feb/22 1:56 PM,,,0,Verify the last name field with more than 100 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:or,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the first name field with more than 100 characters,EL-19,10109,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:13 PM,18/Feb/22 4:29 PM,21/Feb/22 1:56 PM,,,0,Verify the name field with more than 100 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:q,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the first name field with numeric and special characters,EL-18,10108,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:13 PM,18/Feb/22 4:29 PM,18/Feb/22 2:41 PM,,,0,Verify the first name field with numeric and special characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:o9,,,,,EL Sprint 1,,,,,,,,In Progress
Verify that the user is able to edit the first name field record by entering the valid data,EL-17,10107,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:13 PM,18/Feb/22 2:45 PM,21/Feb/22 1:56 PM,,,0,Verify that the user is able to edit the first name field record by entering the valid data,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:oi,,,,,EL Sprint 1,,,,,,,,In Progress
Verify that the page redirect to the edit profile page or not when click on edit profile,EL-16,10106,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:13 PM,18/Feb/22 2:29 PM,21/Feb/22 1:56 PM,18/Feb/22 10:34 AM,,0,Verify that the page redirect to the edit profile page or not when click on edit profile,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:9,,,,,EL Sprint 1,,,,,,,,Done
Verify that by default the added record showing in the first name field or not,EL-15,10105,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:13 PM,18/Feb/22 2:29 PM,21/Feb/22 1:56 PM,18/Feb/22 10:36 AM,,0,Verify that the by default the added record showing in the first name field or not,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzm:p,,,,,EL Sprint 1,,,,,,,,Done
Verify the subject field with 200 characters,EL-14,10013,Test,In Progress,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:41 PM,16/Feb/22 3:14 PM,16/Feb/22 3:14 PM,,,0,Verify the subject field with 200 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-6,,,,,,,,{},,,,0|hzzzzo:,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the subject field with special characters,EL-13,10012,Test,In Progress,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:41 PM,16/Feb/22 3:14 PM,16/Feb/22 3:19 PM,,,0,Verify the subject field with special characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-6,,,,,,,,{},,,,0|hzzzzm:o,,,,,EL Sprint 1,,,,,,,,In Progress
Verify that Subject field has a (*) mark to show it is mandatory,EL-12,10011,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:41 PM,18/Feb/22 10:34 AM,15/Feb/22 3:57 PM,18/Feb/22 10:34 AM,,0,Verify that Subject field has a (*) mark to show it is mandatory,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-6,,,,,,,,{},,,,0|hzzzzm:m,,,,,EL Sprint 1,,,,,,,,Done
Verify that the Send to field is scrollable,EL-11,10010,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:40 PM,18/Feb/22 10:35 AM,16/Feb/22 3:14 PM,18/Feb/22 10:35 AM,,0,Verify that the Send to field is scrollable,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-6,,,,,,,,{},,,,0|hzzzzm:i,,,,,EL Sprint 1,,,,,,,,Done
Verify the Send to field with more than 3 characters,EL-10,10009,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:40 PM,18/Feb/22 10:50 AM,21/Feb/22 1:56 PM,18/Feb/22 10:50 AM,,0,Verify the Send to field with more than 3 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-6,,,,,,,,{},,,,0|hzzzzm:r,,,,,EL Sprint 1,,,,,,,,Done
Verify the send to field type,EL-9,10008,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:40 PM,18/Feb/22 10:39 AM,16/Feb/22 3:13 PM,18/Feb/22 10:39 AM,,0,Verify the send to field type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-6,,,,,,,,{},,,,0|hzzzzp:,,,,,EL Sprint 1,,,,,,,,Done
Verify the placeholder for send to field,EL-8,10007,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:40 PM,18/Feb/22 10:37 AM,16/Feb/22 10:31 PM,18/Feb/22 10:37 AM,,0,Verify the placeholder for send to field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-6,,,,,,,,{},,,,0|hzzzzn:,,,,,EL Sprint 1,,,,,,,,Done
Verify the Send to field with blank value,EL-7,10006,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,15/Feb/22 3:40 PM,18/Feb/22 10:34 AM,21/Feb/22 12:38 PM,18/Feb/22 10:34 AM,,0,Verify the Send to field with blank value,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-6,,,,,,,,{},,,,0|hzzzzm:,,,,,EL Sprint 1,,,,,,,,Done
"As a user, I want to send text message so that I can give feedback",EL-6,10005,Story,In Progress,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,15/Feb/22 2:21 PM,21/Feb/22 1:50 PM,18/Feb/22 2:52 PM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzl:,,,,,EL Sprint 1,,,,,,,,In Progress
"As a user, I want to edit my profile so that I can update my details",EL-5,10004,Story,In Progress,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,15/Feb/22 2:16 PM,21/Feb/22 11:20 AM,21/Feb/22 1:36 PM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,;18/Feb/22 10:57 AM;ug:22bc8bf1-074b-4516-a4dd-21b1f374aa13;86400,288000,201600,86400,30%,288000,201600,86400,,,,,,,,,,EL-103,,,,,,,,{},,,,0|hzzzzj:,,,,,EL Sprint 1,,5.0,,,,,,In Progress
"As a user, I want to reset my password so that I can change my password for security reasons",EL-4,10003,Story,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,15/Feb/22 2:15 PM,17/Feb/22 3:43 PM,15/Feb/22 3:30 PM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0000d:,,,,,,,,,,,,,To Do
Login button is not working,EL-3,10002,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,15/Feb/22 12:27 PM,21/Feb/22 1:38 PM,21/Feb/22 1:49 PM,,,0,"Login button is not working

Steps To Reproduce

1.Navigate to the application

2.enter valid user name and password

3.click on Login button



Expected Result

User should be navigated to the Dashboard



Actual Result

Login button is not working

Screenshot

!image-20220215-071530.png|width=382,height=478!",,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,,,,,,,,,,15/Feb/22 12:44 PM;ug:22bc8bf1-074b-4516-a4dd-21b1f374aa13;image-20220215-071530.png;https://ibmhaldia10.atlassian.net/secure/attachment/10000/image-20220215-071530.png,,,,,,,{},,,,0|i0000f:,,,,,,,,,,,,,To Do
"As a user, I want to register so that I can access the application",EL-2,10001,Story,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,15/Feb/22 11:46 AM,15/Feb/22 12:46 PM,15/Feb/22 12:46 PM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,;15/Feb/22 12:46 PM;ug:22bc8bf1-074b-4516-a4dd-21b1f374aa13;18000,144000,126000,18000,12%,144000,126000,18000,,,,,,,,,,,,,,,,,,{},,,,0|i00007:,,,,,,,5.0,,,,,,To Do
"As a user, I want login so that i can secure my details",EL-1,10000,Story,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,15/Feb/22 11:38 AM,17/Feb/22 3:43 PM,15/Feb/22 12:41 PM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0000b:,,,,,,,,,,,,,To Do
